emDash	enDash	aihits	lines	words	emPer1000	file
25	0	0	43	683	36.60	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\ui-vs-api-level-testing\review.mdx
26	0	1	48	730	35.62	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\debugging-and-troubleshooting\review.mdx
18	0	1	39	523	34.42	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\locators\review.mdx
17	0	0	43	512	33.20	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\page-object-model\review.mdx
18	0	1	39	544	33.09	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\visual-and-snapshot-testing\review.mdx
17	0	0	39	534	31.84	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\test-organization-and-tagging\review.mdx
24	0	0	46	754	31.83	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\playwright-test-agents\review.mdx
18	0	1	39	574	31.36	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\testing-the-rbac-permission-matrix\review.mdx
19	0	0	45	616	30.84	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\handling-dynamic-and-async-ui\review.mdx
17	0	0	39	560	30.36	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\fixtures\review.mdx
19	0	0	49	627	30.30	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\why-playwright\review.mdx
20	0	0	48	682	29.33	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\playwright-mcp\review.mdx
16	0	0	40	549	29.14	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\accessibility-testing\review.mdx
20	0	1	45	725	27.59	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\self-healing-tests\review.mdx
16	0	0	39	595	26.89	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\actions-and-web-first-assertions\review.mdx
14	0	0	39	524	26.72	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\continuous-integration\review.mdx
13	0	1	39	494	26.32	d:\jenny\sypher\apps\docs\docs\playwright-test-automation\cross-browser-and-responsive-testing\review.mdx
